t,OD600,mevalonate [mM],glucose [mM]
0,8.1113083078968720,0,37.98151001540832
1.0,9.7547057991596140,7.229595759513124,26.50231124807396
2.5,10.178977637388065,16.22423072874938,11.40215716486903
4,10.472028527698718,23.143180207872454,0.30816640986133154
