t,OD600,mevalonate [mM]
0.0,0.0622213448842877,0.075642965204236
3.0,0.2731263722800845,0.075642965204236
4.0,0.5411695265464637,0.0
4.5,0.7254476206136812,0.075642965204236
5.0,0.9589990607459976,0.226928895612708
5.5,1.1989135781878129,0.37821482602118
6.0,1.5412702225087496,0.8320726172465961
6.5,1.822242034990415,1.361573373676248
7.0,2.154434690031884,2.3449319213313164
8.0,3.011534749602567,4.236006051437217
11.0,3.32056603408601,6.202723146747353
12.0,3.3672295752114225,6.202723146747353
