t [h],p [mM]
0.03571428571428571,0.05822416302765648
1,0.8151382823871907
2.5,4.192139737991266
4,9.315866084425036
5.5,16.885007278020378
7,26.724890829694324
8.5,31.09170305676856
10,34.29403202328967
