t [h],x [gCDW/L]
0,0.0738362760834671
1,0.08105939004815409
2.5,0.10112359550561797
4,0.13964686998394862
5.5,0.20947030497592295
7,0.2857142857142857
8.5,0.3539325842696629
10,0.3491171749598716
