t,valine [g/L],OD600
0,0,1.65
4,7.808219178082191,21.36986301369863
8,16.027397260273972,52.3972602739726
12,25.06849315068493,74.3835616438356
16,31.027397260273972,99.86301369863013
20,40.068493150684915,90
24,53.219178082191775,86.71232876712328
28,67.3972602739726,80.13698630136986
32,75.20547945205479,77.05479452054794
36,83.83561643835615,75.82191780821917
