t,valine [g/L],OD600
0,0,1.65
4,9.150779896013864,20.589254766031196
8,16.013864818024263,44.71403812824956
12,26.412478336221838,64.88734835355285
16,31.611785095320624,84.64471403812824
20,39.93067590987868,91.7157712305026
24,48.24956672443674,93.79549393414212
28,53.86481802426343,94.83535528596187
32,64.88734835355285,95.25129982668977
36,70.7105719237435,96.49913344887348
40,77.9896013864818,95.45927209705373
44,85.89254766031196,91.09185441941074
