t [h],x [g/L],EtOH [mM],glc [mM]
0.0,0.0738362760834671,0.0582241630276564,19.52
1.0,0.081059390048154,0.8151382823871907,18.688
2.5,0.1011235955056179,4.192139737991266,16.672
4.0,0.1396468699839486,9.315866084425036,13.568
5.5,0.2094703049759229,16.885007278020378,8.704
7.0,0.2857142857142857,26.724890829694324,2.912
8.5,0.3539325842696629,31.09170305676856,0.96
10.0,0.3491171749598716,34.29403202328967,0.768
